"","Var1","Freq"
"1","Afghanistan",13
"2","Albania",13
"3","Algeria",13
"4","Andorra",13
"5","Angola",13
"6","Antigua and Barbuda",13
"7","Argentina",13
"8","Armenia",13
"9","Australia",13
"10","Austria",13
"11","Azerbaijan",13
"12","Bahamas",13
"13","Bahrain",13
"14","Bangladesh",13
"15","Barbados",13
"16","Belarus",13
"17","Belgium",13
"18","Belize",13
"19","Benin",13
"20","Bhutan",13
"21","Bolivia",13
"22","Bosnia and Herzegovina",13
"23","Botswana",13
"24","Brazil",13
"25","Brunei",13
"26","Bulgaria",13
"27","Burkina Faso",13
"28","Burundi",13
"29","Cambodia",13
"30","Cameroon",13
"31","Canada",13
"32","Cape Verde",13
"33","Central African Republic",13
"34","Chad",13
"35","Chile",13
"36","China",13
"37","Colombia",13
"38","Comoros",13
"39","Congo",13
"40","Congo, Democratic Republic",13
"41","Costa Rica",13
"42","Cote d'Ivoire",13
"43","Croatia",13
"44","Cuba",13
"45","Cyprus (-1974)",13
"46","Cyprus (1975-)",13
"47","Czechoslovakia",13
"48","Czech Republic",13
"49","Denmark",13
"50","Djibouti",13
"51","Dominica",13
"52","Dominican Republic",13
"53","Ecuador",13
"54","Egypt",13
"55","El Salvador",13
"56","Equatorial Guinea",13
"57","Eritrea",13
"58","Estonia",13
"59","Ethiopia (-1992)",13
"60","Ethiopia (1993-)",13
"61","Fiji",13
"62","Finland",13
"63","France (-1962)",13
"64","France (1963-)",13
"65","Gabon",13
"66","Gambia",13
"67","Georgia",13
"68","Germany",13
"69","Germany, East",13
"70","Germany, West",13
"71","Ghana",13
"72","Greece",13
"73","Grenada",13
"74","Guatemala",13
"75","Guinea",13
"76","Guinea-Bissau",13
"77","Guyana",13
"78","Haiti",13
"79","Honduras",13
"80","Hungary",13
"81","Iceland",13
"82","India",13
"83","Indonesia",13
"84","Iran",13
"85","Iraq",13
"86","Ireland",13
"87","Israel",13
"88","Italy",13
"89","Jamaica",13
"90","Japan",13
"91","Jordan",13
"92","Kazakhstan",13
"93","Kenya",13
"94","Kiribati",13
"95","Korea, North",13
"96","Korea, South",13
"97","Kuwait",13
"98","Kyrgyzstan",13
"99","Laos",13
"100","Latvia",13
"101","Lebanon",13
"102","Lesotho",13
"103","Liberia",13
"104","Libya",13
"105","Liechtenstein",13
"106","Lithuania",13
"107","Luxembourg",13
"108","Macedonia",13
"109","Madagascar",13
"110","Malawi",13
"111","Malaysia (-1965)",13
"112","Malaysia (1966-)",13
"113","Maldives",13
"114","Mali",13
"115","Malta",13
"116","Marshall Islands",13
"117","Mauritania",13
"118","Mauritius",13
"119","Mexico",13
"120","Micronesia",13
"121","Moldova",13
"122","Monaco",13
"123","Mongolia",13
"124","Montenegro",13
"125","Morocco",13
"126","Mozambique",13
"127","Myanmar",13
"128","Namibia",13
"129","Nauru",13
"130","Nepal",13
"131","Netherlands",13
"132","New Zealand",13
"133","Nicaragua",13
"134","Niger",13
"135","Nigeria",13
"136","Norway",13
"137","Oman",13
"138","Pakistan (-1970)",13
"139","Pakistan (1971-)",13
"140","Palau",13
"141","Panama",13
"142","Papua New Guinea",13
"143","Paraguay",13
"144","Peru",13
"145","Philippines",13
"146","Poland",13
"147","Portugal",13
"148","Qatar",13
"149","Romania",13
"150","Russia",13
"151","Rwanda",13
"152","Samoa",13
"153","San Marino",13
"154","Sao Tome and Principe",13
"155","Saudi Arabia",13
"156","Senegal",13
"157","Serbia",13
"158","Serbia and Montenegro",13
"159","Seychelles",13
"160","Sierra Leone",13
"161","Singapore",13
"162","Slovakia",13
"163","Slovenia",13
"164","Solomon Islands",13
"165","Somalia",13
"166","South Africa",13
"167","South Sudan",13
"168","Spain",13
"169","Sri Lanka",13
"170","St Kitts and Nevis",13
"171","St Lucia",13
"172","St Vincent and the Grenadines",13
"173","Sudan (-2011)",13
"174","Sudan (2012-)",13
"175","Suriname",13
"176","Swaziland",13
"177","Sweden",13
"178","Switzerland",13
"179","Syria",13
"180","Taiwan",13
"181","Tajikistan",13
"182","Tanzania",13
"183","Thailand",13
"184","Tibet",13
"185","Timor-Leste",13
"186","Togo",13
"187","Tonga",13
"188","Trinidad and Tobago",13
"189","Tunisia",13
"190","Turkey",13
"191","Turkmenistan",13
"192","Tuvalu",13
"193","Uganda",13
"194","Ukraine",13
"195","United Arab Emirates",13
"196","United Kingdom",13
"197","United States",13
"198","Uruguay",13
"199","USSR",13
"200","Uzbekistan",13
"201","Vanuatu",13
"202","Venezuela",13
"203","Vietnam",13
"204","Vietnam, North",13
"205","Vietnam, South",13
"206","Yemen",13
"207","Yemen, North",13
"208","Yemen, South",13
"209","Yugoslavia",13
"210","Zambia",13
"211","Zimbabwe",13
